usdPerCall,id,block,provider,endpoint,displayName,description,coverage,dataClass,accuracyAssessment,freshnessAssessment,responseSpeed,relevance,officialStatus,licenceStatus,safetyAssessment,adoption,targetUsers,platformFit,limitation,feedProfile,override10,override100,researchCalls10,researchCalls100,feedCalls10,feedCalls100,researchCost10,researchCost100,feedCost10,feedCost100,sourceUrl
0.01,T11,2,nasdaq,/get_stock_institutional_holdings,Get institutional holdings,Institutional ownership records,"Unknown Monid count; US exchange-listed source scope, tool dependent.",ownership,"Reconcile reporting manager, quarter, security class and amendments.","Periodic, historically reported holdings; not real-time ownership.",Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P1 source/provenance assessment; Monid authority unverified.,See P1 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Company and institutional-portfolio researchers,Company ownership and investor changes,Institutional filings describe historical positions; not same-day insider trades.,entity_daily,0,0,1100,11000,3000,30000,11.0,110.0,30.0,300.0,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_stock_institutional_holdings
0.01,T12,1,nasdaq,/get_market_movers,Get market movers,Leading price movers,"Unknown Monid count; US exchange-listed source scope, tool dependent.",screen,Useful discovery subset; ranking/filter completeness unmeasured.,Depends on underlying fields and refresh schedule; not a full market tape.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P1 source/provenance assessment; Monid authority unverified.,See P1 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Market discovery panel,"Ranking is a selected subset, not all stocks; volume and reference session matter.",global_market,0,0,1100,11000,1716,1716,11.0,110.0,17.16,17.16,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_market_movers
0.01,T13,1,nasdaq,/get_etf_quote,Get ETF quote,ETF quote snapshot,"Unknown Monid count; US exchange-listed source scope, tool dependent.",quote,Useful for a timestamped price display; correctness unmeasured through Monid.,Potentially frequent upstream updates; no verified Monid real-time delivery.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium; optional feature,See P1 source/provenance assessment; Monid authority unverified.,See P1 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,ETF catalogue extension,"ETFs represent funds, not additional operating companies.",entity_market,5,5,1100,11000,8580,8580,11.0,110.0,85.8,85.8,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_etf_quote
0.01,T14,1,nasdaq,/get_cryptocurrency_quote,Get cryptocurrency quote,Cryptocurrency quote snapshot,"Unknown Monid count; US exchange-listed source scope, tool dependent.",quote,Useful for a timestamped price display; correctness unmeasured through Monid.,Potentially frequent upstream updates; no verified Monid real-time delivery.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium; optional feature,See P1 source/provenance assessment; Monid authority unverified.,See P1 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Optional cross-asset market panel,"Outside company coverage; venue, pair and 24-hour timing need confirmation.",entity_crypto,2,2,1100,11000,17280,17280,11.0,110.0,172.8,172.8,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_cryptocurrency_quote
0.01,T15,1,nasdaq,/get_stock_news,Get stock news,Company-related headlines and links,"Unknown Monid count; US exchange-listed source scope, tool dependent.",news,Relevance and factual accuracy unmeasured; retain publisher and original URL.,Article publication plus vendor collection lag; no measured Monid SLA.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P1 source/provenance assessment; Monid authority unverified.,See P1 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Portfolio investors and company-news readers,Company news cards and My Stocks feed,"Full text, image rights, publisher identity and ticker relevance are not established.",entity_news,0,0,1100,11000,48000,480000,11.0,110.0,480.0,4800.0,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_stock_news
0.01,T16,1,nasdaq,/get_stock_financials,Get company financials,Financial statement values,"Unknown Monid count; US exchange-listed source scope, tool dependent.",reported,Good source-checking potential; reconcile selected values to company filings.,"Reporting-cycle data, often quarterly/annual; monitor revisions.",Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P1 source/provenance assessment; Monid authority unverified.,See P1 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Fundamental analysts and company researchers,Company financials and comparisons,"Confirm units, periods, currencies and restatements. The same-named Parse wrapper advertises four financial periods; Monid equivalence/history depth unverified.",entity_daily,0,0,1100,11000,3000,30000,11.0,110.0,30.0,300.0,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_stock_financials
0.01,T17,1,nasdaq,/get_index_detail,Get index detail,Details for a selected index,"Unknown Monid count; US exchange-listed source scope, tool dependent.",quote,Useful for a timestamped price display; correctness unmeasured through Monid.,Potentially frequent upstream updates; no verified Monid real-time delivery.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium; optional feature,See P1 source/provenance assessment; Monid authority unverified.,See P1 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Benchmark comparison panel,Index definitions and permissions differ from stock data.,entity_market,5,5,1100,11000,8580,8580,11.0,110.0,85.8,85.8,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_index_detail
0.01,T18,1,nasdaq,/get_stock_short_interest,Get short interest,Reported short positions,"Unknown Monid count; US exchange-listed source scope, tool dependent.",short,Validate reporting date and denominator; short interest is not short-sale volume.,"Periodic reported positions, not a live position feed.",Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P1 source/provenance assessment; Monid authority unverified.,See P1 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Company positioning context,"Short interest is a periodic position report, not real-time short-sale volume.",entity_daily,0,0,1100,11000,3000,30000,11.0,110.0,30.0,300.0,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_stock_short_interest
0.01,T19,1,nasdaq,/get_stock_option_chain,Get option chain,Listed option strikes and quotes,"Unknown Monid count; US exchange-listed source scope, tool dependent.",option,"Validate strike, expiry, contract multiplier, quote side and snapshot time.",Intraday derivative snapshots; Monid delay and chain completeness unverified.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium; optional feature,See P1 source/provenance assessment; Monid authority unverified.,See P1 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Advanced derivatives researchers,Optional derivatives research panel,"Coverage only for optionable securities; chain depth, Greeks and latency unverified.",entity_market,0,0,1100,11000,171600,1716000,11.0,110.0,1716.0,17160.0,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_stock_option_chain
0.01,T20,1,nasdaq,/get_retail_trading_activity,Get retail trading activity,Retail trading activity rankings,"Unknown Monid count; US exchange-listed source scope, tool dependent.",derived,"Validate methodology, source fields and period consistency.","Related official RTAT dataset: daily, one-day reporting lag. Monid source tier, list breadth and additional delivery lag unverified.",Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P1 source/provenance assessment; Monid authority unverified.,See P1 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Separate retail sentiment panel,"Retail flows are not insider activity. The separate official RTAT dataset is daily with a one-day reporting lag; Monid list size, tier and additional latency are unverified.",global_daily,0,0,1100,11000,30,30,11.0,110.0,0.3,0.3,https://api.monid.ai/public/v1/providers/nasdaq/endpoints/get_retail_trading_activity
0.05,T21,1,yahoo-finance,/get_historical_data,Get historical prices,Historical security prices,Unknown Monid count; global exchange support at source.,history,"Validate adjustments, gaps, timestamps and price units against an authorised reference.",Historical bars; interval size does not prove delivery latency.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P2 source/provenance assessment; Monid authority unverified.,See P2 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Company and benchmark charts,Exchange/timezone and adjustment settings need verification; source availability varies.,entity_daily,0,0,1100,11000,3000,30000,55.0,550.0,150.0,1500.0,https://api.monid.ai/public/v1/providers/yahoo-finance/endpoints/get_historical_data
0.05,T22,1,yahoo-finance,/get_company_profile,Get company profile,Company identity and business description,Unknown Monid count; global exchange support at source.,profile,"Verify identity, business description and field observation dates.",Mixed reference data; field-level freshness varies.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P2 source/provenance assessment; Monid authority unverified.,See P2 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Catalogue company profile,Ticker coverage is not news coverage; profile freshness and source licence unverified.,entity_daily,0,0,1100,11000,3000,30000,55.0,550.0,150.0,1500.0,https://api.monid.ai/public/v1/providers/yahoo-finance/endpoints/get_company_profile
0.05,T23,1,yahoo-finance,/get_stock_news,Get market news,Company or market news discovery,Unknown Monid count; global exchange support at source.,news,Relevance and factual accuracy unmeasured; retain publisher and original URL.,Article publication plus vendor collection lag; no measured Monid SLA.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P2 source/provenance assessment; Monid authority unverified.,See P2 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Portfolio investors and company-news readers,All News and company cards,Confirm per-ticker input and company matching; no blanket full-text or image licence.,entity_news,0,0,1100,11000,48000,480000,55.0,550.0,2400.0,24000.0,https://api.monid.ai/public/v1/providers/yahoo-finance/endpoints/get_stock_news
0.05,T24,1,yahoo-finance,/get_quote,Get quote,Security quote snapshot,Unknown Monid count; global exchange support at source.,quote,Useful for a timestamped price display; correctness unmeasured through Monid.,Potentially frequent upstream updates; no verified Monid real-time delivery.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P2 source/provenance assessment; Monid authority unverified.,See P2 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Watchlist and company price display,Yahoo lists exchange-dependent delays; do not label the wrapper uniformly real time.,entity_market,0,0,1100,11000,171600,1716000,55.0,550.0,8580.0,85800.0,https://api.monid.ai/public/v1/providers/yahoo-finance/endpoints/get_quote
0.05,T25,1,yahoo-finance,/search_tickers,Search tickers,Search ticker identifiers,Unknown Monid count; global exchange support at source.,lookup,"Useful candidate matching; validate exchange, instrument type and issuer identifiers.","Mostly reference data; newly listed, delisted and renamed securities need updates.",Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P2 source/provenance assessment; Monid authority unverified.,See P2 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Catalogue users and data operations,Catalogue search and disambiguation,"Search returns candidate securities, not a complete company universe.",lookup_demand,0,0,1100,11000,550.0,5500.0,55.0,550.0,27.5,275.0,https://api.monid.ai/public/v1/providers/yahoo-finance/endpoints/search_tickers
0.01,T26,1,finviz,/get_screener_results,Run screener,Screen stocks by research criteria,"Website: 5,613 stock ticker rows observed; exact Monid/per-tool count unknown.",screen,Useful discovery subset; ranking/filter completeness unmeasured.,Depends on underlying fields and refresh schedule; not a full market tape.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P3 source/provenance assessment; Monid authority unverified.,See P3 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Saved catalogue screens,"US-listed source scope. The same-named Parse wrapper returns up to 20 first-page results without pagination; Monid equivalence, filters and pagination remain unverified.",global_market,0,0,1100,11000,1716,1716,11.0,110.0,17.16,17.16,https://api.monid.ai/public/v1/providers/finviz/endpoints/get_screener_results
0.01,T27,2,finviz,/get_insider_trading,Get insider trading,Recent reported insider transactions,"Website: 5,613 stock ticker rows observed; exact Monid/per-tool count unknown.",insider,High auditability with original filing; parsing and transaction interpretation need checks.,Disclosure-lagged; vendor ingestion lag and Monid tier unmeasured.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P3 source/provenance assessment; Monid authority unverified.,See P3 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors studying executive disclosures,Shared insider activity feed filtered to holdings,"Verify original forms, transaction codes, dates and amendments. A same-named Parse sample labels a Form 144 proposed-sale link as Form 4; this is not a tested Monid defect or proof of a completed sale.",global_insider,0,0,1100,11000,1408,1408,11.0,110.0,14.08,14.08,https://api.monid.ai/public/v1/providers/finviz/endpoints/get_insider_trading
0.01,T28,1,finviz,/get_ticker_sectors_with_performance,get_ticker_sectors_with_performance,Sector labels and performance context,"Website: 5,613 stock ticker rows observed; exact Monid/per-tool count unknown.",derived,"Validate methodology, source fields and period consistency.",Dependent on underlying source updates and calculation window.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P3 source/provenance assessment; Monid authority unverified.,See P3 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Portfolio sector exposure and movers,Batch size and calculation window are unverified; sector classification can differ by source.,entity_market,0,0,1100,11000,171600,1716000,11.0,110.0,1716.0,17160.0,https://api.monid.ai/public/v1/providers/finviz/endpoints/get_ticker_sectors_with_performance
0.01,T29,1,finviz,/get_stock_news_sentiment,Get news sentiment,Sentiment attached to stock news,"Website: 5,613 stock ticker rows observed; exact Monid/per-tool count unknown.",sentiment,"Lower evidential weight: an unvalidated derived label, not factual verification.",Follows underlying news; score refresh and method unverified.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P3 source/provenance assessment; Monid authority unverified.,See P3 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,News researchers using labelled analytical context,Optional labelled sentiment beside source articles,Scoring method is not established for Monid; sentiment is not factual verification or a full news feed.,entity_news,0,0,1100,11000,48000,480000,11.0,110.0,480.0,4800.0,https://api.monid.ai/public/v1/providers/finviz/endpoints/get_stock_news_sentiment
0.01,T30,1,finviz,/get_market_movers,Get market movers,Top gaining or losing stocks,"Website: 5,613 stock ticker rows observed; exact Monid/per-tool count unknown.",screen,Useful discovery subset; ranking/filter completeness unmeasured.,Depends on underlying fields and refresh schedule; not a full market tape.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P3 source/provenance assessment; Monid authority unverified.,See P3 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Global market overview,Session and ranking scope need confirmation. Same-named Parse documentation describes first-page-only output capped at 20; Monid equivalence and full coverage unverified.,global_market,0,0,1100,11000,1716,1716,11.0,110.0,17.16,17.16,https://api.monid.ai/public/v1/providers/finviz/endpoints/get_market_movers
0.02,T31,1,marketbeat,/get_financial_statements,Get financial statements,Company financial statements,"Website claim: 20,000 company profiles; Monid/per-tool count unknown.",reported,Good source-checking potential; reconcile selected values to company filings.,"Reporting-cycle data, often quarterly/annual; monitor revisions.",Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,High,See P4 source/provenance assessment; Monid authority unverified.,See P4 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Fundamental analysts and company researchers,Company financial tabs,"Currency, history depth and restatement handling unverified; costs twice the basic endpoint rate.",entity_daily,0,0,1100,11000,3000,30000,22.0,220.0,60.0,600.0,https://api.monid.ai/public/v1/providers/marketbeat/endpoints/get_financial_statements
0.01,T32,2,marketbeat,/get_institutional_ownership,Get institutional ownership,Institutional holders and ownership changes,"Website claim: 20,000 company profiles; Monid/per-tool count unknown.",ownership,"Reconcile reporting manager, quarter, security class and amendments.","Periodic, historically reported holdings; not real-time ownership.",Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P4 source/provenance assessment; Monid authority unverified.,See P4 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Company and institutional-portfolio researchers,Ownership tab with filing dates,Historical institution positions are not director/officer transactions or current portfolios.,entity_daily,0,0,1100,11000,3000,30000,11.0,110.0,30.0,300.0,https://api.monid.ai/public/v1/providers/marketbeat/endpoints/get_institutional_ownership
0.02,T33,1,marketbeat,/get_analyst_ratings,Get analyst ratings,Analyst-rating data; exact Monid aggregation unverified,"Website claim: 20,000 company profiles; Monid/per-tool count unknown.",opinion,Assess attribution and contributor coverage; not a verified future outcome.,May be monthly aggregate history; do not promise individual upgrade/downgrade alerts or live delivery.,Unmeasured: no paid endpoint latency benchmark or confirmed Monid SLA.,Medium,See P4 source/provenance assessment; Monid authority unverified.,See P4 rights assessment; customer display/storage grant unverified.,"Not security-audited. Server-side credentials, endpoint allowlist, input validation and spending caps proposed; no verified Monid SLA or contractual security assurance.",No named customer verified for this exact Monid connector.,Investors and company/market researchers,Analyst sentiment history and consensus context,"Same-named Parse tool describes monthly rating counts, not individual broker alerts; Monid equivalence and exact fields unverified. Opinions are not verified future outcomes.",entity_daily,0,0,1100,11000,3000,30000,22.0,220.0,60.0,600.0,https://api.monid.ai/public/v1/providers/marketbeat/endpoints/get_analyst_ratings
